,Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
113,ELMO,El Morro National Monument,35.043518,-108.34627,1278.876109,48332,44808,40051,46256,49390,59422,59013,65453,68867,36328,51792
114,ELRO,Eleanor Roosevelt National Historic Site,41.77043,-73.932905,177.420958,50074,55049,43686,60456,64791,63480,67621,54649,47630,9575,51701
115,EUON,Eugene O'Neill National Historic Site,37.800695,-121.981435,13.19575927,2593,2789,2929,3202,3942,4287,3931,3432,2944,14423,4447
116,EVER,Everglades National Park,25.395755,-80.58345249999999,1531728.486,934351,1141906,1047116,1110901,1077427,930907,1018557,597124,1118300,702319,967891
117,FEHA,Federal Hall National Memorial,40.7073139,-74.010262,0.530989324,187109,167146,148647,137538,172038,314531,325497,230634,264849,13822,196181
118,FIIS,Fire Island National Seashore,40.7552554,-73.0168646,19705.217630000003,519173,483334,294219,384343,441899,431303,456392,305710,391311,250449,395813
119,FILA,First Ladies National Historic Site,40.797611,-81.375456,0.454152796,8254,9903,10068,15326,12897,13378,13085,11447,10913,2406,10768
120,FRST,First State National Historical Park,39.664722,-75.565278,1154.829107,0,0,0,0,0,0,0,0,0,0,0
121,FLNI,Flight 93 National Memorial,40.017274,-78.909198,2264.265451,265246,317926,265924,284226,337217,385123,364082,381448,411226,244364,325678
122,FLFO,Florissant Fossil Beds National Monument,38.900586,-105.336536,6270.906543,61289,62637,58032,63297,69130,73564,71763,79568,77340,61081,67770
123,FOTH,Ford's Theatre National Historic Site,38.896667,-77.025833,0.30056274899999996,642786,701542,665876,655441,681537,650779,744266,533410,572373,56058,590407
124,FOBO,Fort Bowie National Historic Site,32.1514176,-109.4526832,997.964559,8429,7966,8082,6964,7760,8013,8491,8401,7577,6456,7814
125,FOCA,Fort Caroline National Memorial,30.3793742,-81.5029008,140.20865590000002,326149,327339,307086,187843,224418,232082,243960,203276,187658,404476,264429
126,FODA,Fort Davis National Historic Site,30.6017944,-103.8955494,517.6370301,35130,38136,43277,49842,55955,61823,60910,49532,51995,35920,48252
127,FODO,Fort Donelson National Battlefield,36.4848862,-87.8574308,1301.197997,257389,284762,247734,262317,260744,259343,208816,168986,254431,325496,253002
128,FOFR,Fort Frederica National Monument,31.223111,-81.389279,282.40356410000004,293041,262235,217580,228103,202191,192906,188089,183591,212330,210892,219096
129,FOLA,Fort Laramie National Historic Site,42.209167,-104.535861,897.3601007000001,52916,55199,54057,49038,51616,57444,61513,52414,42892,26066,50316
130,FOLS,Fort Larned National Historic Site,38.189289,-99.19959,705.1123569,26704,33194,27432,24607,32170,31060,29188,29173,26958,21895,28238
131,FOMA,Fort Matanzas National Monument,29.716366,-81.234059,273.89380489999996,570695,497574,523694,568529,622175,557810,578981,608103,593788,543590,566494
132,FOMC,Fort McHenry National Monument and Historic Shrine,39.263056,-76.58,46.72097128,641254,744076,678431,769300,617890,610987,591861,486113,419545,163224,572268
133,FOMR,Fort Monroe National Monument,37.003611,-76.3075,368.2227102,0,0,0,0,0,0,0,0,0,0,0
134,FONE,Fort Necessity National Battlefield,39.819078,-79.587852,916.0088489,193479,187893,165159,219546,280705,290021,294145,280970,312104,199801,242382
135,FOPO,Fort Point National Historic Site,37.767098,-122.465741,25.0689149,1338508,1502786,1591312,1677457,1610466,2264154,1532541,1400491,1421349,884538,1522360
136,FOPU,Fort Pulaski National Monument,32.018264,-80.990196,5416.595418999999,408104,385751,374408,387010,382945,344921,360591,419930,374290,357970,379592
137,FORA,Fort Raleigh National Historic Site,35.938547,-75.712322,495.77730639999993,282134,281833,263598,264987,289885,292367,274981,261198,248139,153519,261264
138,FOSC,Fort Scott National Historic Site,37.842788,-94.705509,20.45776314,26219,25034,25773,25966,25531,29291,28948,26482,24068,14652,25196
139,FOSM,Fort Smith National Historic Site,35.387619,-94.4290819,71.04542751,86122,87386,69584,88790,111469,163636,141914,136568,125500,67574,107854
140,FOST,Fort Stanwix National Monument,43.2119731,-75.4547454,16.73584156,102874,195057,129089,60819,86678,94006,106936,90507,97412,24134,98751
141,FOSU,Fort Sumter and Fort Moultrie National Historical Park,32.758321,-79.856317,232.257933,857883,842027,815007,828521,840711,888330,896569,859880,877894,365133,807196
142,FOUN,Fort Union National Monument,35.846872,-105.018118,720.6785426,9575,9215,8965,10934,11726,11953,11676,10860,11063,5334,10130
143,FOUS,Fort Union Trading Post National Historic Site,48.00016,-104.041483,443.57536110000007,12236,12677,12908,11521,13605,17502,13329,13551,12967,5225,12552
144,FOVA,Fort Vancouver National Historic Site,45.6252599,-122.6543063,208.32208169999998,710439,681404,733540,803740,818672,1092031,1081489,1098553,1018214,670111,870819
145,FOWA,Fort Washington Park,38.71312,-77.025503,344.0611162,409381,368824,443918,466078,337433,560358,317470,316052,423868,160289,380367
146,FOBU,Fossil Butte National Monument,41.864444,-110.775833,8317.739991,16552,17084,17662,16623,19293,20737,21978,21349,20554,13176,18501
147,FRDE,Franklin Delano Roosevelt Memorial,38.883889,-77.044444,8.137991637999999,2309708,2764459,2837729,2938239,3290080,4360502,3507402,3288299,3303573,1010986,2961098
148,FRDO,Frederick Douglass National Historic Site,38.863333000000004,-76.985278,8.399173219,46694,53314,47625,45492,53873,67387,76569,70869,61063,10969,53386
149,FRLA,Frederick Law Olmsted National Historic Site,42.3254655,-71.1320319,6.984000605,4022,8668,6570,8667,9473,8935,11388,9854,7791,2570,7794
150,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,38.308756,-77.455278,9264.958495,908836,982324,880251,873328,891917,969895,919311,926464,906800,838835,909796
151,FRRI,Freedom Riders National Monument,33.635,-85.908333,7.992321966,0,0,0,0,0,0,0,0,0,0,0
152,FRHI,Friendship Hill National Historic Site,39.819078,-79.587852,675.2199531,30039,34289,34372,34317,34687,37847,39377,41678,34159,19462,34023
153,GAAR,Gates of the Arctic National Park,67.251868,-150.184189,8472246.497000001,11623,10899,11012,12669,10745,10047,11177,9591,10518,2872,10115
154,JEFF,Gateway Arch National Park,38.624901,-90.186317,194.426638,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2055309,486021,1787630
155,GATE,Gateway National Recreation Area,40.6035923,-74.0588092,27158.69,7697727,5043863,6191246,6021713,6392565,8651770,9190610,9243305,9405622,8404728,7624315
156,GARI,Gauley River National Recreation Area,38.22,-80.89,11168.17411,109780,115283,135309,117354,105374,115888,118733,97778,119282,109378,114416
157,GEGR,General Grant National Memorial,40.812908,-73.962923,0.724657048,104769,92418,83440,100622,95526,109151,97005,73336,113852,24475,89459
158,GERO,George Rogers Clark National Historical Park,38.6778773,-87.5353188,24.35683016,145596,125972,128531,125218,135856,126095,117268,121187,140130,56108,122196
159,GEWA,George Washington Birthplace National Monument,38.185556,-76.916389,657.8475124,130647,134824,131683,131984,130952,129750,122457,111058,139666,41970,120499
160,GWCA,George Washington Carver National Monument,36.9859501,-94.3510047,240.79149089999999,30787,30425,33061,41535,37745,46397,46466,44411,49553,26569,38695
161,GWMP,George Washington Memorial Parkway,38.841902000000005,-77.048492,6657.1883530000005,7417397,7425577,7360392,7472150,7286463,10323339,7562793,7288623,7487265,6237361,7586136
162,GETT,Gettysburg National Military Park,39.8122032,-77.2215251,6067.8281719999995,1124659,1126577,1213349,1020702,1080185,1091320,1038649,949989,925117,536553,1010710
163,GICL,Gila Cliff Dwellings National Monument,32.77,-108.279999,605.3428107000001,25317,28637,27825,31135,36518,41519,78872,79108,66614,31645,44719
164,GLBA,Glacier Bay National Park,58.8318772,-136.9987946,3284348.037,431986,454337,500590,500727,551353,520171,547057,597915,672087,5748,478197
165,GLAC,Glacier National Park,48.8046506,-114.1625084,1008098.668,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309,3049839,1698864,2487676
166,GLCA,Glen Canyon National Recreation Area,37.3583836,-110.8076084,1250322.4840000002,2270817,2061328,1991924,2368452,2495093,3239525,4574940,4219441,4330563,2553392,3010548
167,GOGA,Golden Gate National Recreation Area,37.8439986,-122.5259596,82466.76394,14567487,14540338,14289121,15004420,14888537,15638777,14981897,15223697,15002227,12400045,14653655
168,GOSP,Golden Spike National Historical Park,41.6316468,-112.4947092,2669.89212,43933,42551,40704,44125,59147,60027,67811,60130,108154,53106,57969
169,GOIS,Governors Island National Monument,40.7012349,-74.0116813,22.78541743,402174,348249,355553,698227,438613,522859,625653,589798,590993,102915,467503
170,GRCA,Grand Canyon National Park,36.3551644,-112.6612088,1203251.675,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495,5974411,2897098,5103793
171,GRPO,Grand Portage National Monument,47.95819,-89.6895741,708.3037125,97440,93156,88598,88877,91751,95862,96051,94137,94985,66426,90728
172,GRTE,Grand Teton National Park,43.729398,-110.709055,310014.1156,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,3405614,3289638,3069628
173,GRKO,Grant-Kohrs Ranch National Historic Site,46.407891,-112.735579,1575.615407,20293,17095,18848,20565,22139,23176,24072,26676,25043,15328,21324
174,GRBA,Great Basin National Park,38.9295007,-114.2628251,77001.19239,91451,94850,92893,107526,116123,144846,168028,153094,131802,120248,122086
175,GRSA,Great Sand Dunes National Park,37.7275919,-105.6412527,149272.9739,280058,254674,242841,271774,299513,388308,486935,442905,527546,461532,365609
176,GRSM,Great Smoky Mountains National Park,35.691031,-83.536198,518050.23,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,12547743,12095720,10757765
177,GREE,Greenbelt Park,38.995757,-76.895521,1149.121089,190427,145552,142742,132688,135260,137900,141856,85260,128702,28319,126871
178,GUMO,Guadalupe Mountains National Park,31.903912,-104.868813,87224.47688999999,152546,159360,145670,166868,169535,181839,225257,172347,188833,151256,171351
179,GUCO,Guilford Courthouse National Military Park,36.1312015,-79.8488024,226.83337859999997,346617,313374,541581,173261,222602,321796,348991,236016,223900,186020,291416
180,GUIS,Gulf Islands National Seashore,30.393904,-87.0388,130412.4274,5501872,4973462,4837965,4455240,3976883,4771309,3952941,4229968,5600240,4012129,4631201
181,HAFO,Hagerman Fossil Beds National Monument,42.7816632,-114.9521998,4380.330178,21100,23936,21008,22482,24695,25982,31122,26477,23768,14113,23468
182,HALE,Haleakala National Park,20.856944,-156.313056,33630.52061,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,994394,319147,992934
183,HAGR,Hamilton Grange National Memorial,40.7073139,-74.010262,1.7531902480000001,7817,16358,20429,20943,35446,85348,85603,66216,71247,23015,43242
184,HAMP,Hampton National Historic Site,39.41789,-76.590414,62.00679643,32165,37529,32262,32498,34685,34942,32327,29615,28234,8728,30299
185,HAFE,Harpers Ferry National Historical Park,39.325379,-77.738882,3721.910268,255348,263105,255714,261202,282893,335691,342535,265737,299577,234473,279628
186,HATU,Harriet Tubman Underground Railroad National Historical Park,38.4483,-76.1387,25542.12214,0,0,0,0,0,0,0,0,0,0,0
187,HSTR,Harry S Truman National Historic Site,39.0936,-94.415252,12.46240808,28924,31316,28977,29364,32825,34616,45435,32878,30746,9446,30453
